# SYNTHETIC fixture for engine verification — NOT real market data
Date,Adj Close,Volume
2023-05-01,100.0000,2500000
2023-05-02,100.1000,1000000
2023-05-03,100.2000,1000000
2023-05-04,100.3000,1000000
2023-05-05,100.4000,1000000
2023-05-08,100.5000,1000000
2023-05-09,100.6000,2500000
2023-05-10,100.7000,1000000
2023-05-11,100.8000,1000000
2023-05-12,100.9000,1000000
2023-05-15,101.0000,1000000
2023-05-16,101.1000,1000000
2023-05-17,101.2000,2500000
2023-05-18,101.3000,1000000
2023-05-19,101.4000,1000000
2023-05-22,101.5000,1000000
2023-05-23,101.6000,1000000
2023-05-24,101.7000,1000000
2023-05-25,101.8000,2500000
2023-05-26,101.9000,1000000
2023-05-29,102.0000,1000000
2023-05-30,102.1000,1000000
2023-05-31,102.2000,1000000
2023-06-01,102.3000,1000000
2023-06-02,102.4000,2500000
2023-06-05,102.5000,1000000
2023-06-06,102.6000,1000000
2023-06-07,102.7000,1000000
